CODGEO,LIBGEO,Code département,annee,type,code_com,geo_point,nom_com,code_dep,taux_pauvrete_commune
22050,Dinan,22,2017,niveau pauvrete,22050,"48.44612091913673, -2.0513021305898294",Dinan,22,27.56
22093,Lamballe-Armor,22,2017,niveau pauvrete,22093,"48.48507006191167, -2.529991643442078",Lamballe-Armor,22,15.32
22113,Lannion,22,2017,niveau pauvrete,22113,"48.74372057592956, -3.4613016821377243",Lannion,22,22.43
22187,Plérin,22,2017,niveau pauvrete,22187,"48.54399626161453, -2.769713010180491",Plérin,22,15.33
22215,Ploufragan,22,2017,niveau pauvrete,22215,"48.487289095102696, -2.8081004181194076",Ploufragan,22,20.43
22278,Saint-Brieuc,22,2017,niveau pauvrete,22278,"48.51485172596246, -2.7633107258871803",Saint-Brieuc,22,28.82
29019,Brest,29,2017,niveau pauvrete,29019,"48.40025315002706, -4.5022743091573005",Brest,29,25.56
29039,Concarneau,29,2017,niveau pauvrete,29039,"47.896435981192745, -3.9071513793560153",Concarneau,29,16.08
29046,Douarnenez,29,2017,niveau pauvrete,29046,"48.08013693636966, -4.328018989613503",Douarnenez,29,21.02
29075,Guipavas,29,2017,niveau pauvrete,29075,"48.43068081836312, -4.3964404319991",Guipavas,29,11.40
29103,Landerneau,29,2017,niveau pauvrete,29103,"48.45110778868429, -4.264152882864628",Landerneau,29,14.84
29151,Morlaix,29,2017,niveau pauvrete,29151,"48.600172746985365, -3.820230290300184",Morlaix,29,28.62
29189,Plougastel-Daoulas,29,2017,niveau pauvrete,29189,"48.3603173039468, -4.382673752226675",Plougastel-Daoulas,29,10.70
29212,Plouzané,29,2017,niveau pauvrete,29212,"48.37762353081911, -4.59896664614105",Plouzané,29,12.88
29232,Quimper,29,2017,niveau pauvrete,29232,"47.997098062270894, -4.091098521510396",Quimper,29,22.43
29233,Quimperlé,29,2017,niveau pauvrete,29233,"47.856152094565374, -3.555022112400577",Quimperlé,29,21.90
29235,Le Relecq-Kerhuon,29,2017,niveau pauvrete,29235,"48.40322052215855, -4.401240130002044",Le Relecq-Kerhuon,29,11.73
35024,Betton,35,2017,niveau pauvrete,35024,"48.18125312560542, -1.6464563368763738",Betton,35,13.40
35047,Bruz,35,2017,niveau pauvrete,35047,"48.025913217225295, -1.7485061399065818",Bruz,35,14.13
35051,Cesson-Sévigné,35,2017,niveau pauvrete,35051,"48.12039966477695, -1.5972458503417073",Cesson-Sévigné,35,10.93
35055,Chantepie,35,2017,niveau pauvrete,35055,"48.0820254003614, -1.6038647846199452",Chantepie,35,17.65
35093,Dinard,35,2017,niveau pauvrete,35093,"48.6247418029858, -2.062086402017181",Dinard,35,18.40
35115,Fougères,35,2017,niveau pauvrete,35115,"48.35276718322625, -1.1944135772968316",Fougères,35,23.50
35210,Pacé,35,2017,niveau pauvrete,35210,"48.15267424488268, -1.7773286627618046",Pacé,35,
35238,Rennes,35,2017,niveau pauvrete,35238,"48.11167956598057, -1.6818689569630096",Rennes,35,29.49
35281,Saint-Jacques-de-la-Lande,35,2017,niveau pauvrete,35281,"48.07611933393252, -1.7225558094413485",Saint-Jacques-de-la-Lande,35,22.60
35288,Saint-Malo,35,2017,niveau pauvrete,35288,"48.64003675777474, -1.9808472198720661",Saint-Malo,35,20.43
35360,Vitré,35,2017,niveau pauvrete,35360,"48.11411110392002, -1.1934825616829488",Vitré,35,16.48
56007,Auray,56,2017,niveau pauvrete,56007,"47.66748009764836, -2.990485003314689",Auray,56,22.90
56078,Guidel,56,2017,niveau pauvrete,56078,"47.79441862166735, -3.492426016296095",Guidel,56,9.10
56083,Hennebont,56,2017,niveau pauvrete,56083,"47.80760381235834, -3.270365675295573",Hennebont,56,17.80
56098,Lanester,56,2017,niveau pauvrete,56098,"47.7687942559813, -3.3274296933541865",Lanester,56,24.33
56121,Lorient,56,2017,niveau pauvrete,56121,"47.75071301573847, -3.378920874280433",Lorient,56,28.46
56162,Ploemeur,56,2017,niveau pauvrete,56162,"47.73253803650636, -3.4422692007023734",Ploemeur,56,10.52
56178,Pontivy,56,2017,niveau pauvrete,56178,"48.07319555613593, -2.9706396858952147",Pontivy,56,23.55
56206,Saint-Avé,56,2017,niveau pauvrete,56206,"47.69872611383357, -2.7417675727903945",Saint-Avé,56,10.50
56260,Vannes,56,2017,niveau pauvrete,56260,"47.659813652734925, -2.7570920082373913",Vannes,56,23.01
