CODGEO;LIBGEO;annee;indice_position_sociale
22070;GUINGAMP;2018;99.60
29019;BREST;2018;112.88
22136;LOUDEAC;2018;99.10
22266;ROSTRENEN;2018;92.80
29151;MORLAIX;2018;105.65
29024;CARHAIX PLOUGUER;2018;114.85
22278;SAINT BRIEUC;2018;106.73
22093;LAMBALLE;2018;102.13
35093;DINARD;2018;110.90
29232;QUIMPER;2018;108.39
35238;RENNES;2018;113.34
35115;FOUGERES;2018;98.23
35236;REDON;2018;102.52
35288;SAINT MALO;2018;111.06
56178;PONTIVY;2018;98.33
56083;HENNEBONT;2018;107.90
56181;PORT LOUIS;2018;87.80
35360;VITRE;2018;100.47
56263;SAINTE ANNE D AURAY;2018;115.20
29103;LANDERNEAU;2018;110.93
22113;LANNION;2018;110.35
29259;SAINT POL DE LEON;2018;96.20
22325;SAINT QUAY PORTRIEUX;2018;92.80
29046;DOUARNENEZ;2018;97.00
29233;QUIMPERLE;2018;103.90
29220;PONT L ABBE;2018;102.43
56007;AURAY;2018;112.75
56098;LANESTER;2018;110.80
56091;JOSSELIN;2018;78.20
56260;VANNES;2018;109.88
35188;MONTFORT SUR MEU;2018;116.50
35240;LE RHEU;2018;125.30
35047;BRUZ;2018;129.55
56055;ETEL;2018;90.80
29105;LANDIVISIAU;2018;107.60
35095;DOL DE BRETAGNE;2018;95.65
35337;TINTENIAC;2018;82.50
35125;LA GUERCHE DE BRETAGNE;2018;104.90
35184;MONTAUBAN DE BRETAGNE;2018;111.40
22362;TREGUIER;2018;103.95
35051;CESSON SEVIGNE;2018;126.15
22050;DINAN;2018;109.93
35085;COMBOURG;2018;116.20
22262;QUINTIN;2018;97.40
29039;CONCARNEAU;2018;104.73
56162;PLOEMEUR;2018;91.70
29026;CHATEAULIN;2018;108.55
22162;PAIMPOL;2018;111.30
56121;LORIENT;2018;109.06
56165;PLOERMEL;2018;107.30
56066;GOURIN;2018;89.50
29302;PONT DE BUIS LES QUIMERCH;2018;81.20
35012;BAIN DE BRETAGNE;2018;114.30
56075;GUER;2018;102.50
29162;PLEYBEN;2018;89.50
56184;QUESTEMBERT;2018;106.70
56117;LOCMINE;2018;83.00
35297;SAINT MEEN LE GRAND;2018;102.40
35278;SAINT GREGOIRE;2018;135.60
29124;LESNEVEN;2018;108.80
22210;PLOUBAZLANEC;2018;86.80
56182;PRIZIAC;2018;85.80
