Code,Nuance,Orientation
EXG,Extrême gauche,Gauche
COM,Parti communiste français,Gauche
FI,La France insoumise,Gauche
SOC,Parti socialiste,Gauche
RDG,Parti radical de gauche,Gauche
VEC,Les Ecologistes,Gauche
DVG,Divers gauche,Gauche
UG,Union de la gauche,Gauche
ECO,Ecologistes,Gauche
REG,Régionaliste,Droite
DIV,Divers,
REN,Renaissance,Droite
MDM,Modem,Droite
HOR,Horizons,Droite
ENS,Ensemble ! (Majorité présidentielle),Droite
DVC,Divers centre,Droite
UDI,Union de Démocrates et Indépendants,Droite
LR,Les Républicains,Droite
DVD,Divers droite,Droite
DSV,Droite souverainiste,Droite
RN,Rassemblement National,Droite
REC,Reconquête !,Droite
UXD,Union de l'extrême droite,Droite
EXD,Extrême droite,Droite
